r_index_x,r_index_y,r_index_z
0.7145787477493286,0.6677501797676086,-1.6538466215133667
0.6955779790878296,0.6897062659263611,-2.039898157119751
0.6955779790878296,0.6897062659263611,-2.039898157119751
0.7409634590148926,0.6729412078857422,-1.7184422016143799
0.7275863885879517,0.6870142817497253,-1.702609896659851
0.7275863885879517,0.6870142817497253,-1.702609896659851
0.7188014984130859,0.6596692800521851,-1.783320665359497
0.7015516757965088,0.6332167387008667,-2.0118789672851562
0.7188014984130859,0.6596692800521851,-1.783320665359497
0.6509523987770081,0.6576327085494995,-1.7674763202667236
0.6529415249824524,0.5659856796264648,-1.802626132965088
0.6529415249824524,0.5659856796264648,-1.802626132965088
0.6245635747909546,0.4888801574707031,-1.9256322383880615
0.6245635747909546,0.4888801574707031,-1.9256322383880615
0.6107184886932373,0.4358952045440674,-2.125980854034424
0.6107184886932373,0.4358952045440674,-2.125980854034424
0.6026293039321899,0.4487292766571045,-2.1523478031158447
0.6092395782470703,0.4184378385543823,-2.1445260047912598
0.606689989566803,0.39587438106536865,-2.069937229156494
0.606689989566803,0.39587438106536865,-2.069937229156494
0.6128698587417603,0.3548821210861206,-1.8845545053482056
0.6128698587417603,0.3548821210861206,-1.8845545053482056
0.6109628677368164,0.342654824256897,-2.198321580886841
0.6109628677368164,0.342654824256897,-2.198321580886841
0.6092880964279175,0.3433898687362671,-2.0673141479492188
0.6092880964279175,0.3433898687362671,-2.0673141479492188
0.6134841442108154,0.3611772060394287,-2.0858113765716553
0.6134841442108154,0.3611772060394287,-2.0858113765716553
0.5949700474739075,0.38109099864959717,-1.8823785781860352
0.5949700474739075,0.38109099864959717,-1.8823785781860352
0.5863831639289856,0.40622055530548096,-2.2750070095062256
0.5863831639289856,0.40622055530548096,-2.2750070095062256
0.5706502199172974,0.43331289291381836,-1.9578754901885986
0.5706502199172974,0.43331289291381836,-1.9578754901885986
0.5396808385848999,0.5007131099700928,-1.7594588994979858
0.5396808385848999,0.5007131099700928,-1.7594588994979858
0.5169793963432312,0.49960625171661377,-2.077526092529297
0.5034943222999573,0.5282895565032959,-2.1997761726379395
0.48476290702819824,0.5672522783279419,-1.9283910989761353
0.48671674728393555,0.5963824987411499,-1.9442368745803833
0.47815635800361633,0.6047214269638062,-2.5817677974700928
0.46837151050567627,0.6254647970199585,-2.2494380474090576
0.46383222937583923,0.6481325030326843,-2.411893606185913
0.45760369300842285,0.6571922898292542,-2.3213932514190674
0.4453551769256592,0.6665657162666321,-2.247011184692383
0.4372263550758362,0.6653313040733337,-2.213419198989868
0.43541526794433594,0.6749638319015503,-1.9941681623458862
0.43255186080932617,0.669980525970459,-2.43796968460083
0.4307343363761902,0.6759124994277954,-2.072895050048828
0.42715924978256226,0.6985753774642944,-2.147918224334717
0.42715924978256226,0.6985753774642944,-2.147918224334717
0.43321913480758667,0.6830190420150757,-2.3968334197998047
0.43321913480758667,0.6830190420150757,-2.3968334197998047
0.46180790662765503,0.7048586010932922,-2.0699915885925293
0.46180790662765503,0.7048586010932922,-2.0699915885925293
0.4977562725543976,0.7049558162689209,-2.4110777378082275
0.4977562725543976,0.7049558162689209,-2.4110777378082275
0.5262789726257324,0.7089184522628784,-2.2503981590270996
0.566698431968689,0.7141807079315186,-2.045747756958008
0.6334378123283386,0.7287777066230774,-1.6388696432113647
0.6334378123283386,0.7287777066230774,-1.6388696432113647
0.6582933664321899,0.7103631496429443,-1.7408169507980347
0.7038960456848145,0.7251120209693909,-1.8257194757461548
0.6926560401916504,0.7219675183296204,-2.0989835262298584
0.7186217904090881,0.7117167115211487,-2.0599045753479004
0.6960036754608154,0.7120193243026733,-1.995774745941162
